Anho,Mes,DC,DSB,Lon,Lat,SST,SSS,SSO,Depth,Anch,Sard,Jur,Cab,Sam,Mun,Fvol,Bagr,Pota,Vinc,Camo,Micto,Euph,Pcin,water.type,watermass,num.card.ANC,prof.card.ANC
2008,11,79.58176214,13.98709354,-80.23333333,-7.76163618,18.273,35.061,NA,NA,22.017133,0,0,0,0,0,0,0,2.308127,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,77.57057174,12.38749911,-80.21816667,-7.751,18.223,35.06,NA,NA,83.186858,0,0,0,0,0,0,0,3.530478,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,75.70761908,10.82008249,-80.203331,-7.742831,18.178,35.06,NA,NA,36.21408,0,0,0,0,0,0,0,4.217288,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,73.83457551,8.971420876,-80.18846618,-7.7345,18.131,35.059,NA,NA,11.092753,0,0,0,0,0,0,0,2.044923,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,71.96833179,7.13186829,-80.17366667,-7.72616667,18.083,35.059,NA,NA,13.675438,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,70.10091655,5.315455274,-80.15885159,-7.71783333,18.035,35.058,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,68.23216861,3.560086474,-80.14401904,-7.7095,17.985,35.058,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,66.37501154,2.035787893,-80.12930815,-7.70114149,17.935,35.058,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,64.50538638,-1.634854262,-80.11440679,-7.69292233,17.883,35.057,NA,NA,79.726629,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,62.63932232,-2.834078112,-80.09943842,-7.68492611,17.831,35.057,NA,NA,70.658919,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,60.7521981,-4.528436676,-80.08428104,-7.67687732,17.777,35.057,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,58.8796061,-6.331995059,-80.06933328,-7.66866667,17.722,35.057,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,57.0114193,-8.183992308,-80.05461791,-7.66,17.666,35.056,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
